day,product,market_inventory,shed_quantity,desired_sell_quantity,base_cap,cadence_adjusted_cap,min_acceptable_price,current_price,price_after_proposed_sale,expected_future_price,recommended_quantity,liquidating,actual_sold,decision,revenue,agent,seed,pairing
0,WHEAT,9997,1,1,1,1,20.0,27,26,,1,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9997,1,1,1,1,26.999813794387624,27,26,27.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9995,1,1,1,1,20.0,27,27,,1,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9995,1,1,1,1,27.999806897883463,27,27,28.0,0,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9995,1,1,1,1,20.0,27,27,,1,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9995,1,1,1,1,27.999806897883463,27,27,28.0,0,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,27.999613798430367,28,27,28.0,1,False,0,no-sell,0,agent_d,0,agent_a_vs_agent_d
0,WHEAT,9993,2,2,2,2,20.0,28,27,,2,False,0,no-sell,0,agent_a,0,agent_a_vs_agent_d
